"YEAR","CASEID","REGION","FAMINCOME","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","CITIZEN","BPL","EDUCYRS","EMPSTAT","FULLPART","KIDUND18","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_HHACT","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","BLS_PCARE_SLEEP","Sleep_Time","Time_Use"
2020,20200101201406,3,9,1,1,8104175.09632,78,2,100,3,1,9900,111,5,99,0,0,230,0,80,282,450,5,0,30,0,238,0,115,0,0,450,450,1430
2020,20200101201408,3,10,1,1,4171509.689241,69,1,100,1,1,9900,217,1,1,0,0,0,0,30,0,480,0,0,0,0,30,0,0,0,900,480,480,1440
2020,20200101201415,4,16,1,1,1.0072432605486E7,34,1,100,1,1,9900,215,1,1,1,30,0,0,30,60,610,0,150,60,0,0,0,181,0,319,580,580,1440
2020,20200101201418,3,12,1,1,1.1753865342386E7,64,2,100,4,1,9900,214,5,99,0,0,6,0,60,505,540,15,0,100,0,145,0,69,0,0,510,510,1440
2020,20200101201501,3,14,1,1,2.6288597430605E7,30,1,100,1,1,9900,217,1,1,0,0,0,0,50,38,405,0,0,0,0,247,70,100,0,485,375,375,1395
2020,20200101201522,4,12,1,1,1655303.880701,52,2,100,4,1,9900,217,1,1,0,0,0,0,0,360,550,0,0,0,120,330,0,80,0,0,490,490,1440
2020,20200101201528,3,15,1,1,4719101.614246,69,2,100,3,1,9900,217,5,99,0,0,62,0,135,139,604,0,0,55,20,70,180,175,0,0,455,455,1440
2020,20200101201549,4,7,1,1,1416288.100877,31,2,100,6,1,9900,112,1,1,1,150,0,0,45,60,721,0,0,25,0,390,0,49,0,0,646,646,1440
2020,20200101201588,1,14,1,1,1.0106732349522E7,32,2,100,1,1,9900,217,1,1,1,165,0,0,25,20,465,0,0,5,0,220,0,90,0,450,420,420,1440
2020,20200101201623,3,16,1,1,3784135.316098,41,1,100,1,1,9900,112,1,1,1,155,0,0,75,60,660,0,0,80,0,325,0,85,0,0,630,630,1440
2020,20200101201670,3,14,1,1,7666124.047213,44,1,100,1,1,9900,214,1,1,1,0,0,0,0,15,495,0,0,0,0,90,90,30,0,720,450,450,1440
2020,20200101201676,2,7,1,1,7317146.652914,60,1,100,1,1,9900,112,5,99,0,0,0,0,0,435,540,0,0,20,0,370,0,75,0,0,510,510,1440
2020,20200101201701,4,15,1,1,1.1335660357797E7,57,1,100,1,1,9900,217,1,1,0,0,0,0,75,35,590,0,0,0,0,65,10,95,0,570,550,550,1440
2020,20200101201702,3,9,1,1,2207816.267816,68,2,100,4,1,9900,214,5,99,0,0,0,0,170,215,604,1,0,0,105,295,0,50,0,0,569,569,1440
2020,20200101201704,2,4,1,1,6244875.77594,66,1,100,4,1,9900,112,5,99,0,0,0,0,40,63,690,15,0,0,0,612,10,10,0,0,660,660,1440
2020,20200101201730,3,15,1,1,2.4865895070357E7,50,2,110,4,1,9900,316,1,2,0,0,0,180,40,35,720,0,0,60,0,300,0,95,0,10,690,690,1440
2020,20200101201753,4,11,1,1,2.1755267599129E7,59,1,100,1,1,9900,102,1,1,0,0,0,0,75,5,390,0,0,0,0,345,0,60,0,565,390,390,1440
2020,20200101201813,2,15,1,1,1.4981812949219E7,50,1,100,1,1,9900,217,1,1,0,0,0,0,30,60,620,0,0,0,0,150,0,40,0,540,560,560,1440
2020,20200101201824,4,15,1,1,4912403.683191,55,1,100,4,1,9900,215,1,1,0,0,0,0,30,70,495,0,0,0,0,215,0,40,0,590,480,480,1440
2020,20200101201827,1,16,1,1,1.0844695051995E7,80,2,100,1,1,9900,214,5,99,0,0,0,0,166,254,536,2,0,12,0,350,0,95,0,0,503,503,1415
2020,20200101201837,4,13,1,1,9045611.409342,43,1,100,4,1,9900,214,1,2,1,0,0,0,75,0,450,45,0,40,0,90,20,210,0,510,450,450,1440
2020,20200101201838,2,15,1,1,3879204.924259,45,1,100,1,1,9900,217,5,99,1,0,0,0,0,260,400,0,0,0,15,685,0,0,0,0,370,370,1360
2020,20200101201889,3,7,1,1,4638525.082404,74,1,100,1,1,9900,213,5,99,0,162,0,0,145,80,488,0,0,0,0,405,0,10,150,0,405,405,1440
2020,20200101201893,3,2,1,1,2888642.117449,68,2,100,4,1,9900,213,5,99,0,0,0,0,15,90,1010,15,0,0,0,250,0,0,0,0,1005,1005,1380
2020,20200101201900,3,3,1,1,5766474.019289,46,1,110,6,1,9900,110,5,99,0,0,0,0,23,0,867,0,0,0,0,540,0,10,0,0,824,824,1440
2020,20200101201965,1,16,1,1,1.120796357066E7,33,2,110,1,1,9900,316,1,2,0,0,0,0,60,255,398,0,0,0,0,240,0,61,0,366,317,317,1380
